Ra,Re
1000.0,0.0
1000.0,150.0
1000.0,300.0
1000.0,600.0
1000.0,75.0
10000.0,0.0
10000.0,150.0
10000.0,300.0
10000.0,600.0
10000.0,75.0
100000.0,0.0
100000.0,150.0
100000.0,300.0
100000.0,600.0
100000.0,75.0
1000000.0,0.0
1000000.0,150.0
1000000.0,300.0
1000000.0,600.0
1000000.0,75.0
2000.0,0.0
2000.0,150.0
2000.0,300.0
2000.0,600.0
2000.0,75.0
20000.0,0.0
20000.0,150.0
20000.0,300.0
20000.0,600.0
20000.0,75.0
200000.0,0.0
200000.0,150.0
200000.0,300.0
200000.0,600.0
200000.0,75.0
3000.0,0.0
3000.0,150.0
3000.0,300.0
3000.0,600.0
3000.0,75.0
30000.0,0.0
30000.0,150.0
30000.0,300.0
30000.0,600.0
30000.0,75.0
300000.0,0.0
300000.0,150.0
300000.0,300.0
300000.0,600.0
300000.0,75.0
4000.0,0.0
4000.0,150.0
4000.0,300.0
4000.0,600.0
4000.0,75.0
40000.0,0.0
40000.0,150.0
40000.0,300.0
40000.0,600.0
40000.0,75.0
400000.0,0.0
400000.0,150.0
400000.0,300.0
400000.0,600.0
400000.0,75.0
5000.0,0.0
5000.0,150.0
5000.0,300.0
5000.0,600.0
5000.0,75.0
50000.0,0.0
50000.0,150.0
50000.0,300.0
50000.0,600.0
50000.0,75.0
500000.0,0.0
500000.0,150.0
500000.0,300.0
500000.0,600.0
500000.0,75.0
6000.0,0.0
6000.0,150.0
6000.0,300.0
6000.0,600.0
6000.0,75.0
60000.0,0.0
60000.0,150.0
60000.0,300.0
60000.0,600.0
60000.0,75.0
600000.0,0.0
600000.0,150.0
600000.0,300.0
600000.0,600.0
600000.0,75.0
7000.0,0.0
7000.0,150.0
7000.0,300.0
7000.0,600.0
7000.0,75.0
70000.0,0.0
70000.0,150.0
70000.0,300.0
70000.0,600.0
70000.0,75.0
700000.0,0.0
700000.0,150.0
700000.0,300.0
700000.0,600.0
700000.0,75.0
8000.0,0.0
8000.0,150.0
8000.0,300.0
8000.0,600.0
8000.0,75.0
80000.0,0.0
80000.0,150.0
80000.0,300.0
80000.0,600.0
80000.0,75.0
800000.0,0.0
800000.0,150.0
800000.0,300.0
800000.0,600.0
800000.0,75.0
9000.0,0.0
9000.0,150.0
9000.0,300.0
9000.0,600.0
9000.0,75.0
90000.0,0.0
90000.0,150.0
90000.0,300.0
90000.0,600.0
90000.0,75.0
900000.0,0.0
900000.0,150.0
900000.0,300.0
900000.0,600.0
900000.0,75.0
